"","SID","Age","Sex","Language","Exclude","Exclude_reason","Knower_level","Condition","Task","Trial_number","Task_item","Response","Correct","Counting.Number.language","Notes","Counting_validate","Num_lang","count_proficiency","highest_count","Numerosity","CP_subset"
"1","one-one_4","4.101300479","M","English",0,"","CP","Non-identical","Parallel","1","3","3",1,0,"",NA,NA,3,12,"Small","CP"
"2","one-one_4","4.101300479","M","English",0,"","CP","Non-identical","Parallel","2","4","4",1,0,"",NA,NA,3,12,"Small","CP"
"3","one-one_4","4.101300479","M","English",0,"","CP","Non-identical","Parallel","3","10","10",1,0,"",NA,NA,3,12,"Large","CP"
"4","one-one_4","4.101300479","M","English",0,"","CP","Non-identical","Parallel","4","8","9",0,0,"",NA,NA,3,12,"Large","CP"
"5","one-one_4","4.101300479","M","English",0,"","CP","Non-identical","Parallel","5","6","5",0,0,"",NA,NA,3,12,"Large","CP"
"6","one-one_4","4.101300479","M","English",0,"","CP","Non-identical","Orthogonal","1","4","4",1,0,"",NA,NA,3,12,"Small","CP"
"7","one-one_4","4.101300479","M","English",0,"","CP","Non-identical","Orthogonal","2","3","3",1,0,"",NA,NA,3,12,"Small","CP"
"8","one-one_4","4.101300479","M","English",0,"","CP","Non-identical","Orthogonal","3","8","10",0,0,"",NA,NA,3,12,"Large","CP"
"9","one-one_4","4.101300479","M","English",0,"","CP","Non-identical","Orthogonal","4","10","12",0,0,"",NA,NA,3,12,"Large","CP"
"10","one-one_4","4.101300479","M","English",0,"","CP","Non-identical","Orthogonal","5","6","11",0,0,"",NA,NA,3,12,"Large","CP"
"11","one-one_4","4.101300479","M","English",0,"","CP","Non-identical","Give_N","1","3","3",1,1,"",NA,NA,3,12,NA,"CP"
"12","one-one_4","4.101300479","M","English",0,"","CP","Non-identical","Give_N","2","4","4",1,1,"",NA,NA,3,12,NA,"CP"
"13","one-one_4","4.101300479","M","English",0,"","CP","Non-identical","Give_N","3","5","5",1,1,"",NA,NA,3,12,NA,"CP"
"14","one-one_4","4.101300479","M","English",0,"","CP","Non-identical","Give_N","4","6","6",1,1,"",NA,NA,3,12,NA,"CP"
"15","one-one_4","4.101300479","M","English",0,"","CP","Non-identical","Give_N","5","9","9",1,1,"",NA,NA,3,12,NA,"CP"
