,X,SID,Age,Sex,Location,Experimenter,Entered.by,Language,Exclude,Exclude_reason,Knower_level,Counterbalance,Condition,Task,Trial_number,Task_item,Response,Correct,Counting.Number.language,Notes,Exclude.Trial,Exclude.Trial.Reason,CP_subset,highest_count,abs.error
1,1,112219-I,2.997946612,F,Bayside,RMS,RMS,English,0,Pilot,2,A,EXPLICIT,Set-matching,1,3,3,1,,,NA,NA,Subset,9,0
2,2,112219-I,2.997946612,F,Bayside,RMS,RMS,English,0,Pilot,2,A,EXPLICIT,Set-matching,2,4,4,1,,,NA,NA,Subset,9,0
3,3,112219-I,2.997946612,F,Bayside,RMS,RMS,English,0,Pilot,2,A,EXPLICIT,Set-matching,3,10,10,1,,,NA,NA,Subset,9,0
4,4,112219-I,2.997946612,F,Bayside,RMS,RMS,English,0,Pilot,2,A,EXPLICIT,Set-matching,5,8,9,0,,,NA,NA,Subset,9,1
5,5,112219-R,2.973305955,M,Bayside,RMS,RMS,English,0,Pilot,1,B,EXPLICIT,Set-matching,1,4,5,0,,,NA,NA,Subset,9,1
6,6,112219-R,2.973305955,M,Bayside,RMS,RMS,English,0,Pilot,1,B,EXPLICIT,Set-matching,2,3,3,1,,,NA,NA,Subset,9,0
7,7,112219-R,2.973305955,M,Bayside,RMS,RMS,English,0,Pilot,1,B,EXPLICIT,Set-matching,3,8,7,0,,,NA,NA,Subset,9,1
8,8,112219-R,2.973305955,M,Bayside,RMS,RMS,English,0,Pilot,1,B,EXPLICIT,Set-matching,5,10,6,0,,,NA,NA,Subset,9,4
9,9,112219-D,4.41889117,M,Bayside,RMS,RMS,English,0,Pilot,CP,A,EXPLICIT,Set-matching,1,3,3,1,,,NA,NA,CP,20,0
10,10,112219-D,4.41889117,M,Bayside,RMS,RMS,English,0,Pilot,CP,A,EXPLICIT,Set-matching,2,4,4,1,,,NA,NA,CP,20,0
11,11,112219-D,4.41889117,M,Bayside,RMS,RMS,English,0,Pilot,CP,A,EXPLICIT,Set-matching,3,10,11,0,,,NA,NA,CP,20,1
12,12,112219-D,4.41889117,M,Bayside,RMS,RMS,English,0,Pilot,CP,A,EXPLICIT,Set-matching,5,8,11,0,,,NA,NA,CP,20,3
13,13,112219-M,4.109514031,F,Bayside,RMS,RMS,English,0,Pilot,CP,B,EXPLICIT,Set-matching,1,4,4,1,,,NA,NA,CP,30,0
14,14,112219-M,4.109514031,F,Bayside,RMS,RMS,English,0,Pilot,CP,B,EXPLICIT,Set-matching,2,3,3,1,,,NA,NA,CP,30,0
15,15,112219-M,4.109514031,F,Bayside,RMS,RMS,English,0,Pilot,CP,B,EXPLICIT,Set-matching,3,8,8,1,,,NA,NA,CP,30,0
16,16,112219-M,4.109514031,F,Bayside,RMS,RMS,English,0,Pilot,CP,B,EXPLICIT,Set-matching,5,10,10,1,,,NA,NA,CP,30,0
17,17,112519-S,4.060232717,M,Seaside-Turquoise,RMS,RMS,English,0,Pilot,2,A,EXPLICIT,Set-matching,1,3,3,1,,,NA,NA,Subset,10,0
18,18,112519-S,4.060232717,M,Seaside-Turquoise,RMS,RMS,English,0,Pilot,2,A,EXPLICIT,Set-matching,2,4,4,1,,,NA,NA,Subset,10,0
19,19,112519-S,4.060232717,M,Seaside-Turquoise,RMS,RMS,English,0,Pilot,2,A,EXPLICIT,Set-matching,3,10,7,0,,,NA,NA,Subset,10,3
20,20,112519-S,4.060232717,M,Seaside-Turquoise,RMS,RMS,English,0,Pilot,2,A,EXPLICIT,Set-matching,5,8,4,0,,,NA,NA,Subset,10,4
21,21,112619-IK,3.728952772,F,Lab,KK,RMS,English,0,Pilot,CP,A,EXPLICIT,Set-matching,1,3,3,1,,,NA,NA,CP,12,0
22,22,112619-IK,3.728952772,F,Lab,KK,RMS,English,0,Pilot,CP,A,EXPLICIT,Set-matching,2,4,5,0,,,NA,NA,CP,12,1
23,23,112619-IK,3.728952772,F,Lab,KK,RMS,English,0,Pilot,CP,A,EXPLICIT,Set-matching,3,10,15,0,,"""I think I have to do all of them""",NA,NA,CP,12,5
24,24,112619-IK,3.728952772,F,Lab,KK,RMS,English,0,Pilot,CP,A,EXPLICIT,Set-matching,5,8,15,0,,,NA,NA,CP,12,7
25,25,112619-O,4.298425736,F,Lab,RMS,RMS,English,0,Pilot,4,A,EXPLICIT,Set-matching,1,3,4,0,,,NA,NA,Subset,20,1
26,26,112619-O,4.298425736,F,Lab,RMS,RMS,English,0,Pilot,4,A,EXPLICIT,Set-matching,2,4,5,0,,,NA,NA,Subset,20,1
27,27,112619-O,4.298425736,F,Lab,RMS,RMS,English,0,Pilot,4,A,EXPLICIT,Set-matching,3,10,10,1,,"""All of the fish""",NA,NA,Subset,20,0
28,28,112619-O,4.298425736,F,Lab,RMS,RMS,English,0,Pilot,4,A,EXPLICIT,Set-matching,5,8,9,0,,,NA,NA,Subset,20,1
29,29,12219-N,5.221081451,M,Northminster,RMS,RMS,English,0,Pilot,CP,A,EXPLICIT,Set-matching,1,3,3,1,1,"""three""",NA,NA,CP,50,0
30,30,12219-N,5.221081451,M,Northminster,RMS,RMS,English,0,Pilot,CP,A,EXPLICIT,Set-matching,2,4,4,1,1,counting,NA,NA,CP,50,0
31,31,12219-N,5.221081451,M,Northminster,RMS,RMS,English,0,Pilot,CP,A,EXPLICIT,Set-matching,3,10,8,0,1,addition,NA,NA,CP,50,2
32,32,12219-N,5.221081451,M,Northminster,RMS,RMS,English,0,Pilot,CP,A,EXPLICIT,Set-matching,4,8,6,0,1,addition,NA,NA,CP,50,2
33,33,22320-I,4.728268309,F,Birch,OM,OM,English,0,,CP,A,EXPLICIT,Set-matching,1,3,4,0,,,NA,NA,CP,29,1
34,34,22320-I,4.728268309,F,Birch,OM,OM,English,0,,CP,A,EXPLICIT,Set-matching,2,4,4,1,,,NA,NA,CP,29,0
35,35,22320-I,4.728268309,F,Birch,OM,OM,English,0,,CP,A,EXPLICIT,Set-matching,3,10,9,0,,,NA,NA,CP,29,1
36,36,22320-I,4.728268309,F,Birch,OM,OM,English,0,,CP,A,EXPLICIT,Set-matching,5,8,8,1,,,NA,NA,CP,29,0
37,37,22320-A2,3.26899384,F,Birch,OM,OM,English,0,,2,B,EXPLICIT,Set-matching,1,4,4,1,,,NA,NA,Subset,12,0
38,38,22320-A2,3.26899384,F,Birch,OM,OM,English,0,,2,B,EXPLICIT,Set-matching,2,3,4,0,,,NA,NA,Subset,12,1
39,39,22320-A2,3.26899384,F,Birch,OM,OM,English,0,,2,B,EXPLICIT,Set-matching,3,8,13,0,,,NA,NA,Subset,12,5
40,40,22320-A2,3.26899384,F,Birch,OM,OM,English,0,,2,B,EXPLICIT,Set-matching,5,10,14,0,,,NA,NA,Subset,12,4
41,41,22320-S,3.039014374,F,Birch,OM,OM,English,0,,4,B,EXPLICIT,Set-matching,1,4,4,1,,,NA,NA,Subset,5,0
42,42,22320-S,3.039014374,F,Birch,OM,OM,English,0,,4,B,EXPLICIT,Set-matching,2,3,3,1,,,NA,NA,Subset,5,0
43,43,22320-S,3.039014374,F,Birch,OM,OM,English,0,,4,B,EXPLICIT,Set-matching,3,8,8,1,,,NA,NA,Subset,5,0
44,44,22320-S,3.039014374,F,Birch,OM,OM,English,0,,4,B,EXPLICIT,Set-matching,5,10,11,0,,,NA,NA,Subset,5,1
45,45,22320-R,3.457905544,F,Birch,OM,OM,English,0,,3,B,EXPLICIT,Set-matching,1,4,5,0,,,NA,NA,Subset,10,1
46,46,22320-R,3.457905544,F,Birch,OM,OM,English,0,,3,B,EXPLICIT,Set-matching,2,3,3,1,,,NA,NA,Subset,10,0
47,47,22320-R,3.457905544,F,Birch,OM,OM,English,0,,3,B,EXPLICIT,Set-matching,3,8,9,0,,,NA,NA,Subset,10,1
48,48,22320-R,3.457905544,F,Birch,OM,OM,English,0,,3,B,EXPLICIT,Set-matching,5,10,11,0,,,NA,NA,Subset,10,1
49,49,22320-L,4.865160849,F,Birch,OM,OM,English,0,,4,A,EXPLICIT,Set-matching,1,3,3,1,,,NA,NA,Subset,19,0
50,50,22320-L,4.865160849,F,Birch,OM,OM,English,0,,4,A,EXPLICIT,Set-matching,2,4,4,1,,,NA,NA,Subset,19,0
51,51,22320-L,4.865160849,F,Birch,OM,OM,English,0,,4,A,EXPLICIT,Set-matching,3,10,11,0,,,NA,NA,Subset,19,1
