SID,Age,Sex,Experimenter,Entered by,Language,Exclude,Exclude_reason,Knower_level,Counterbalance,Condition,Task,Trial_number,Task_item,Response,Correct,Counting/Number language,Notes,Exclude Trial,Exclude Trial Reason
CopyPasteMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,NEUTRAL/PRIMING/EXPLICIT,Set-matching,Training,1,,HELP,,,,
CopyPasteMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,NEUTRAL/PRIMING/EXPLICIT,Set-matching,Training,2,,HELP,,,,
CopyPasteMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,NEUTRAL/PRIMING/EXPLICIT,Set-matching,1,CHOOSE COUNTERBALANCE,,HELP,,,,
CopyPasteMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,NEUTRAL/PRIMING/EXPLICIT,Set-matching,2,CHOOSE COUNTERBALANCE,,HELP,,,,
CopyPasteMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,NEUTRAL/PRIMING/EXPLICIT,Set-matching,3,CHOOSE COUNTERBALANCE,,HELP,,,,
CopyPasteMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,NEUTRAL/PRIMING/EXPLICIT,Set-matching,5,CHOOSE COUNTERBALANCE,,HELP,,,,
CopyPasteMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,NEUTRAL/PRIMING/EXPLICIT,Set-matching,NA,Neutral-Final Question,NA,NA,,,,
CopyPasteMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,NEUTRAL/PRIMING/EXPLICIT,Highest count,NA,Raw_string,,NA,NA,,,
CopyPasteMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,NEUTRAL/PRIMING/EXPLICIT,Highest count,NA,Highest_count,RMS will enter,HELP,NA,,,
CopyPasteMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,NEUTRAL/PRIMING/EXPLICIT,Give_N,1,NA,,HELP,,,,
CopyPasteMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,NEUTRAL/PRIMING/EXPLICIT,Give_N,2,NA,,HELP,,,,
CopyPasteMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,NEUTRAL/PRIMING/EXPLICIT,Give_N,3,NA,,HELP,,,,
CopyPasteMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,NEUTRAL/PRIMING/EXPLICIT,Give_N,4,NA,,HELP,,,,
CopyPasteMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,NEUTRAL/PRIMING/EXPLICIT,Give_N,5,NA,,HELP,,,,
CopyPasteMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,NEUTRAL/PRIMING/EXPLICIT,Give_N,6,NA,,HELP,,,,
CopyPasteMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,NEUTRAL/PRIMING/EXPLICIT,Give_N,7,NA,,HELP,,,,
CopyPasteMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,NEUTRAL/PRIMING/EXPLICIT,Give_N,8,NA,,HELP,,,,
CopyPasteMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,NEUTRAL/PRIMING/EXPLICIT,Give_N,9,NA,,HELP,,,,
CopyPasteMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,NEUTRAL/PRIMING/EXPLICIT,Give_N,10,NA,,HELP,,,,
CopyPasteMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,NEUTRAL/PRIMING/EXPLICIT,Give_N,11,NA,,HELP,,,,
CopyPasteMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,NEUTRAL/PRIMING/EXPLICIT,Give_N,12,NA,,HELP,,,,
CopyPasteMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,NEUTRAL/PRIMING/EXPLICIT,Give_N,13,NA,,HELP,,,,
CopyPasteMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,NEUTRAL/PRIMING/EXPLICIT,Give_N,14,NA,,HELP,,,,
CopyPasteMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,NEUTRAL/PRIMING/EXPLICIT,Give_N,15,NA,,HELP,,,,
111419-M,3.79192334,F,RMS,RMS,English,1,"Pilot, DNF",2,NA,PRIMING,Set-matching,Training,1,1,1,,,,
111419-M,3.79192334,F,RMS,RMS,English,1,"Pilot, DNF",2,NA,PRIMING,Set-matching,Training,2,2,1,,,,
111419-M,3.79192334,F,RMS,RMS,English,1,"Pilot, DNF",2,NA,PRIMING,Set-matching,1,3,3,1,,,,
111419-M,3.79192334,F,RMS,RMS,English,1,"Pilot, DNF",2,NA,PRIMING,Set-matching,2,4,NA,NA,,,,
111419-M,3.79192334,F,RMS,RMS,English,1,"Pilot, DNF",2,NA,PRIMING,Set-matching,3,10,15,0,,,,
111419-M,3.79192334,F,RMS,RMS,English,1,"Pilot, DNF",2,NA,PRIMING,Set-matching,4,8,15,0,,,,
111419-M,3.79192334,F,RMS,RMS,English,1,"Pilot, DNF",2,NA,PRIMING,Set-matching,5,6,15,0,,,,
111419-M,3.79192334,F,RMS,RMS,English,1,"Pilot, DNF",2,NA,PRIMING,Highest count,NA,Raw_string,NA,NA,NA,Would not count,,
111419-M,3.79192334,F,RMS,RMS,English,1,"Pilot, DNF",2,NA,PRIMING,Highest count,NA,Highest_count,NA,NA,NA,,,
111419-M,3.79192334,F,RMS,RMS,English,1,"Pilot, DNF",2,NA,PRIMING,How Many,NA,7 - Score,NA,NA,,Would not count,,
111419-M,3.79192334,F,RMS,RMS,English,1,"Pilot, DNF",2,NA,PRIMING,How Many,NA,7 - Num_counted_to,NA,NA,,Would not count,,
