SID,Age,Sex,Experimenter,Entered by,Language,Exclude,Exclude_reason,Knower_level,Counterbalance,Condition,Task,Trial_number,Task_item,Response,Correct,Counting/Number language,Notes
CopyPasteMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,SHARING/MATCHING,Set-matching,Training,2,,HELP,,
CopyPasteMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,SHARING/MATCHING,Set-matching,1,CHOOSE COUNTERBALANCE,,HELP,,
CopyPasteMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,SHARING/MATCHING,Set-matching,2,CHOOSE COUNTERBALANCE,,HELP,,
CopyPasteMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,SHARING/MATCHING,Set-matching,3,CHOOSE COUNTERBALANCE,,HELP,,
CopyPasteMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,SHARING/MATCHING,Set-matching,4,CHOOSE COUNTERBALANCE,,HELP,,
CopyPasteMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,SHARING/MATCHING,Set-matching,5,CHOOSE COUNTERBALANCE,,HELP,,
CopyPasteMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,SHARING/MATCHING,Highest count,NA,Raw_string,,NA,NA,
CopyPasteMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,SHARING/MATCHING,Highest count,NA,Highest_count,RMS will enter,NA,NA,
CopyPasteMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,SHARING/MATCHING,Give_N,1,NA,,HELP,,
CopyPasteMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,SHARING/MATCHING,Give_N,2,NA,,HELP,,
CopyPasteMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,SHARING/MATCHING,Give_N,3,NA,,HELP,,
CopyPasteMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,SHARING/MATCHING,Give_N,4,NA,,HELP,,
CopyPasteMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,SHARING/MATCHING,Give_N,5,NA,,HELP,,
CopyPasteMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,SHARING/MATCHING,Give_N,6,NA,,HELP,,
CopyPasteMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,SHARING/MATCHING,Give_N,7,NA,,HELP,,
CopyPasteMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,SHARING/MATCHING,Give_N,8,NA,,HELP,,
CopyPasteMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,SHARING/MATCHING,Give_N,9,NA,,HELP,,
CopyPasteMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,SHARING/MATCHING,Give_N,10,NA,,HELP,,
CopyPasteMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,SHARING/MATCHING,Give_N,11,NA,,HELP,,
CopyPasteMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,SHARING/MATCHING,Give_N,12,NA,,HELP,,
CopyPasteMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,SHARING/MATCHING,Give_N,13,NA,,HELP,,
CopyPasteMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,SHARING/MATCHING,Give_N,14,NA,,HELP,,
CopyPasteMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,SHARING/MATCHING,Give_N,15,NA,,HELP,,
060619-V,3.039014374,F,AP,,English,1,Pilot,2,A,SHARING,Set-matching,Training,1,1,1,0,
060619-V,3.039014374,F,AP,,English,1,Pilot,2,A,SHARING,Set-matching,Training,2,2,1,0,
060619-V,3.039014374,F,AP,,English,1,Pilot,2,A,SHARING,Set-matching,1,3,4,0,0,
060619-V,3.039014374,F,AP,,English,1,Pilot,2,A,SHARING,Set-matching,2,4,4,1,0,
060619-V,3.039014374,F,AP,,English,1,Pilot,2,A,SHARING,Set-matching,3,7,5,0,0,
060619-V,3.039014374,F,AP,,English,1,Pilot,2,A,SHARING,Set-matching,4,10,6,0,0,
060619-V,3.039014374,F,AP,,English,1,Pilot,2,A,SHARING,Set-matching,5,5,4,0,0,
060619-V,3.039014374,F,AP,,English,1,Pilot,2,A,SHARING,Set-matching,6,9,10,0,0,
060619-V,3.039014374,F,AP,,English,1,Pilot,2,A,SHARING,Set-matching,7,8,6,0,0,
060619-V,3.039014374,F,AP,,English,1,Pilot,2,A,SHARING,Set-matching,8,6,5,0,0,
060619-V,3.039014374,F,AP,,English,1,Pilot,2,A,SHARING,Highest count,NA,Raw_string,4-Jan,NA,NA,
060619-V,3.039014374,F,AP,,English,1,Pilot,2,A,SHARING,Highest count,NA,Highest_count,4,NA,NA,
060619-V,3.039014374,F,AP,,English,1,Pilot,2,A,SHARING,Give_N,1,3,10,0,,
060619-V,3.039014374,F,AP,,English,1,Pilot,2,A,SHARING,Give_N,2,2,2,1,,
060619-V,3.039014374,F,AP,,English,1,Pilot,2,A,SHARING,Give_N,3,3,10,0,,
060619-V,3.039014374,F,AP,,English,1,Pilot,2,A,SHARING,Give_N,4,2,2,1,1,
