"","SID","Age","Sex","Experimenter","Entered.by","Language","Exclude","Exclude_reason","Knower_level","Counterbalance","Condition","Task","Trial_number","Task_item","Response","Correct","Counting.Number.language","Notes","CP_subset","Numerosity"
"1","100519-E2",3.244353183,"F","LAK","LAK","English",0,"","CP","B","SHARING","Set-matching","1",4,"5","0","0","","CP","Small"
"2","100519-E2",3.244353183,"F","LAK","LAK","English",0,"","CP","B","SHARING","Set-matching","2",3,"3","1","0","","CP","Small"
"3","100519-E2",3.244353183,"F","LAK","LAK","English",0,"","CP","B","SHARING","Set-matching","3",8,"8","1","0","","CP","Large"
"4","100519-E2",3.244353183,"F","LAK","LAK","English",0,"","CP","B","SHARING","Set-matching","4",6,"8","0","0","","CP","Large"
"5","100519-E2",3.244353183,"F","LAK","LAK","English",0,"","CP","B","SHARING","Set-matching","5",10,"11","0","0","","CP","Large"
"6","100619-G",4.210814511,"M","LAK","LAK","English",0,"","CP","B","SHARING","Set-matching","1",4,"5","0","0","","CP","Small"
"7","100619-G",4.210814511,"M","LAK","LAK","English",0,"","CP","B","SHARING","Set-matching","2",3,"3","1","0","","CP","Small"
"8","100619-G",4.210814511,"M","LAK","LAK","English",0,"","CP","B","SHARING","Set-matching","3",8,"8","1","0","","CP","Large"
"9","100619-G",4.210814511,"M","LAK","LAK","English",0,"","CP","B","SHARING","Set-matching","4",6,"6","1","0","","CP","Large"
"10","100619-G",4.210814511,"M","LAK","LAK","English",0,"","CP","B","SHARING","Set-matching","5",10,"10","1","0","","CP","Large"
"11","100619-LY",3.151266256,"M","LAK","LAK","English",0,"","2","A","SHARING","Set-matching","1",3,"3","1","0","","Subset","Small"
"12","100619-LY",3.151266256,"M","LAK","LAK","English",0,"","2","A","SHARING","Set-matching","2",4,"7","0","0","","Subset","Small"
"13","100619-LY",3.151266256,"M","LAK","LAK","English",0,"","2","A","SHARING","Set-matching","3",10,"15","0","0","","Subset","Large"
"14","100619-LY",3.151266256,"M","LAK","LAK","English",0,"","2","A","SHARING","Set-matching","4",6,"13","0","0","","Subset","Large"
"15","100619-LY",3.151266256,"M","LAK","LAK","English",0,"","2","A","SHARING","Set-matching","5",8,"15","0","0","","Subset","Large"
"16","100619-J",3.646817248,"M","LAK","LAK","English",0,"","3","B","SHARING","Set-matching","1",4,"6","0","0","","Subset","Small"
"17","100619-J",3.646817248,"M","LAK","LAK","English",0,"","3","B","SHARING","Set-matching","2",3,"3","1","0","","Subset","Small"
"18","100619-J",3.646817248,"M","LAK","LAK","English",0,"","3","B","SHARING","Set-matching","3",8,"13","0","1","","Subset","Large"
"19","100619-J",3.646817248,"M","LAK","LAK","English",0,"","3","B","SHARING","Set-matching","4",6,"10","0","1","","Subset","Large"
"20","100619-J",3.646817248,"M","LAK","LAK","English",0,"","3","B","SHARING","Set-matching","5",10,"15","0","0","","Subset","Large"
"21","100619-EV",3.290896646,"F","LAK","LAK","English",0,"","CP","A","SHARING","Set-matching","1",3,"3","1","0","","CP","Small"
"22","100619-EV",3.290896646,"F","LAK","LAK","English",0,"","CP","A","SHARING","Set-matching","2",4,"4","1","0","","CP","Small"
"23","100619-EV",3.290896646,"F","LAK","LAK","English",0,"","CP","A","SHARING","Set-matching","3",10,"8","0","0","","CP","Large"
"24","100619-EV",3.290896646,"F","LAK","LAK","English",0,"","CP","A","SHARING","Set-matching","4",6,"6","1","1","","CP","Large"
"25","100619-EV",3.290896646,"F","LAK","LAK","English",0,"","CP","A","SHARING","Set-matching","5",8,"7","0","0","","CP","Large"
"26","101419-AR",4.629705681,"F","AMB","AMB","English",0,"","CP","A","SHARING","Set-matching","1",3,"3","1","0","","CP","Small"
"27","101419-AR",4.629705681,"F","AMB","AMB","English",0,"","CP","A","SHARING","Set-matching","2",4,"4","1","0","","CP","Small"
"28","101419-AR",4.629705681,"F","AMB","AMB","English",0,"","CP","A","SHARING","Set-matching","3",10,"11","0","0","","CP","Large"
"29","101419-AR",4.629705681,"F","AMB","AMB","English",0,"","CP","A","SHARING","Set-matching","4",6,"10","0","0","","CP","Large"
"30","101419-AR",4.629705681,"F","AMB","AMB","English",0,"","CP","A","SHARING","Set-matching","5",8,"11","0","0","","CP","Large"
"31","101419-CP",3.575633128,"M","AMB","AMB","English",0,"","1","A","SHARING","Set-matching","1",3,"2","0","0","","Subset","Small"
"32","101419-CP",3.575633128,"M","AMB","AMB","English",0,"","1","A","SHARING","Set-matching","2",4,"2","0","0","","Subset","Small"
"33","101419-CP",3.575633128,"M","AMB","AMB","English",0,"","1","A","SHARING","Set-matching","3",10,"2","0","0","","Subset","Large"
"34","101419-CP",3.575633128,"M","AMB","AMB","English",0,"","1","A","SHARING","Set-matching","4",6,"2","0","0","","Subset","Large"
