SID,DOB,DOT,Age,Sex,Location,Experimenter,Entered by,Language,Exclude,Exclude_reason,Knower_level,Counterbalance,Condition,Task,Trial_number,Task_item,Response,Correct,Counting/Number language,Notes,Exclude Trial,Exclude Trial Reason
CopyPasteMe,ChangeMe,ChangeMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,NEUTRAL,Set-matching,Training,1,,HELP,,,,
CopyPasteMe,ChangeMe,ChangeMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,NEUTRAL,Set-matching,Training,2,,HELP,,,,
CopyPasteMe,ChangeMe,ChangeMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,NEUTRAL,Set-matching,1,CHOOSE COUNTERBALANCE,,HELP,,,,
CopyPasteMe,ChangeMe,ChangeMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,NEUTRAL,Set-matching,2,CHOOSE COUNTERBALANCE,,HELP,,,,
CopyPasteMe,ChangeMe,ChangeMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,NEUTRAL,Set-matching,3,CHOOSE COUNTERBALANCE,,HELP,,,,
CopyPasteMe,ChangeMe,ChangeMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,NEUTRAL,Set-matching,4,CHOOSE COUNTERBALANCE,,HELP,,,,
CopyPasteMe,ChangeMe,ChangeMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,NEUTRAL,Set-matching,5,CHOOSE COUNTERBALANCE,,HELP,,,,
CopyPasteMe,ChangeMe,ChangeMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,NEUTRAL,Set-matching,NA,Neutral-Final Question,,HELP,,,,
CopyPasteMe,ChangeMe,ChangeMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,NEUTRAL,Set-matching,NA,IDK first?,,HELP,,,,
CopyPasteMe,ChangeMe,ChangeMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,NEUTRAL,Set-matching,NA,Memory_check_answer,,HELP,,,,
CopyPasteMe,ChangeMe,ChangeMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,NEUTRAL,Highest count,NA,Raw_string,,NA,NA,,,
CopyPasteMe,ChangeMe,ChangeMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,NEUTRAL,Highest count,NA,Highest_count,RMS will enter,HELP,NA,,,
CopyPasteMe,ChangeMe,ChangeMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,NEUTRAL,Give_N,1,NA,,HELP,,,,
CopyPasteMe,ChangeMe,ChangeMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,NEUTRAL,Give_N,2,NA,,HELP,,,,
CopyPasteMe,ChangeMe,ChangeMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,NEUTRAL,Give_N,3,NA,,HELP,,,,
CopyPasteMe,ChangeMe,ChangeMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,NEUTRAL,Give_N,4,NA,,HELP,,,,
CopyPasteMe,ChangeMe,ChangeMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,NEUTRAL,Give_N,5,NA,,HELP,,,,
CopyPasteMe,ChangeMe,ChangeMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,NEUTRAL,Give_N,6,NA,,HELP,,,,
CopyPasteMe,ChangeMe,ChangeMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,NEUTRAL,Give_N,7,NA,,HELP,,,,
CopyPasteMe,ChangeMe,ChangeMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,NEUTRAL,Give_N,8,NA,,HELP,,,,
CopyPasteMe,ChangeMe,ChangeMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,NEUTRAL,Give_N,9,NA,,HELP,,,,
CopyPasteMe,ChangeMe,ChangeMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,NEUTRAL,Give_N,10,NA,,HELP,,,,
CopyPasteMe,ChangeMe,ChangeMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,NEUTRAL,Give_N,11,NA,,HELP,,,,
CopyPasteMe,ChangeMe,ChangeMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,NEUTRAL,Give_N,12,NA,,HELP,,,,
CopyPasteMe,ChangeMe,ChangeMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,NEUTRAL,Give_N,13,NA,,HELP,,,,
CopyPasteMe,ChangeMe,ChangeMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,NEUTRAL,Give_N,14,NA,,HELP,,,,
CopyPasteMe,ChangeMe,ChangeMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,A/B,NEUTRAL,Give_N,15,NA,,HELP,,,,
