"","SID","Last_trial","Neutral-Final Question","Memory_check_answer","answer.check","memory.check"
"1","11120-L","8","IDK",NA,0,NA
"2","11120-L","6","IDK",NA,0,NA
"3","11120-L","8",NA,"8",NA,1
"4","11120-L","6",NA,"8",NA,0
"5","11120-N","10","IDK, 11",NA,0,NA
"6","11120-N","6","IDK, 11",NA,0,NA
"7","11120-N","10",NA,"10",NA,1
"8","11120-N","6",NA,"10",NA,0
"9","11120-S","8","IDK, 13",NA,0,NA
"10","11120-S","6","IDK, 13",NA,0,NA
"11","11120-S","8",NA,"8",NA,1
"12","11120-S","6",NA,"8",NA,0
"13","11120-H2","10","IDK",NA,0,NA
"14","11120-H2","6","IDK",NA,0,NA
"15","11120-H2","10",NA,"10",NA,1
"16","11120-H2","6",NA,"10",NA,0
"17","011120-H","8","18",NA,0,NA
"18","011120-H","6","18",NA,0,NA
"19","011120-H","8",NA,"8",NA,1
"20","011120-H","6",NA,"8",NA,0
"21","11620-DD","8","IDK, 6",NA,0,NA
"22","11620-DD","6","IDK, 6",NA,0,NA
"23","11620-DD","8",NA,"8",NA,1
"24","11620-DD","6",NA,"8",NA,0
"25","11620-SS","10","3","3",0,0
"26","11620-SS","5","3","3",0,0
"27","11620-BT","10","IDK, 10",NA,0,NA
"28","11620-BT","6","IDK, 10",NA,0,NA
"29","11620-BT","10",NA,"10",NA,1
"30","11620-BT","6",NA,"10",NA,0
"31","11620-C","8","10",NA,0,NA
"32","11620-C","6","10",NA,0,NA
"33","11620-C","8",NA,"8",NA,1
"34","11620-C","6",NA,"8",NA,0
"35","11620-E","10","IDK",NA,0,NA
"36","11620-E","6","IDK",NA,0,NA
"37","11620-E","10",NA,"10",NA,1
"38","11620-E","6",NA,"10",NA,0
"39","11620-RK","8","IDK, 10",NA,0,NA
"40","11620-RK","6","IDK, 10",NA,0,NA
"41","11620-RK","8",NA,"8",NA,1
"42","11620-RK","6",NA,"8",NA,0
"43","11620-C2","8","IDK",NA,0,NA
"44","11620-C2","6","IDK",NA,0,NA
"45","11620-C2","8",NA,"8",NA,1
"46","11620-C2","6",NA,"8",NA,0
"47","11620-A2","8","IDK","8",0,1
"48","11620-A2","6","IDK","8",0,0
"49","11620-J","8","IDK","8",0,1
"50","11620-J","6","IDK","8",0,0
"51","11620-A","10","10","10",1,1
"52","11620-A","6","10","10",0,0
"53","121919-L","8","15",NA,0,NA
"54","121919-L","6","15",NA,0,NA
"55","121919-L","8",NA,"8",NA,1
"56","121919-L","6",NA,"8",NA,0
"57","11720-ZR","8","10",NA,0,NA
"58","11720-ZR","6","10",NA,0,NA
"59","11720-ZR","8",NA,"8",NA,1
"60","11720-ZR","6",NA,"8",NA,0
"61","11720-QV","10","IDK, 6",NA,0,NA
"62","11720-QV","5","IDK, 6",NA,0,NA
"63","11720-QV","10",NA,"10",NA,1
"64","11720-QV","5",NA,"10",NA,0
"65","11720-HR","8","IDK, 5",NA,0,NA
"66","11720-HR","6","IDK, 5",NA,0,NA
"67","11720-HR","8",NA,"8",NA,1
"68","11720-HR","6",NA,"8",NA,0
"69","11720-HV","10","3","2",0,0
"70","11720-HV","5","3","2",0,0
"71","11720-RC","8","IDK, no guess",NA,0,NA
"72","11720-RC","5","IDK, no guess",NA,0,NA
"73","11720-RC","8",NA,"8",NA,1
"74","11720-RC","5",NA,"8",NA,0
"75","11720-ZC2","10","6",NA,0,NA
"76","11720-ZC2","5","6",NA,0,NA
"77","11720-ZC2","10",NA,"10",NA,1
"78","11720-ZC2","5",NA,"10",NA,0
"79","11720-ZC","10","IDK",NA,0,NA
"80","11720-ZC","5","IDK",NA,0,NA
"81","11720-ZC","10",NA,"10",NA,1
"82","11720-ZC","5",NA,"10",NA,0
"83","11720-CG","10","12",NA,0,NA
"84","11720-CG","6","12",NA,0,NA
"85","11720-CG","10",NA,"10",NA,1
"86","11720-CG","6",NA,"10",NA,0
"87","030920-BA","8","10",NA,0,NA
"88","030920-BA","5","10",NA,0,NA
"89","030920-BA","8",NA,"8",NA,1
"90","030920-BA","5",NA,"8",NA,0
"91","030920-C2","10","1",NA,0,NA
"92","030920-C2","5","1",NA,0,NA
"93","030920-C2","10",NA,"10",NA,1
"94","030920-C2","5",NA,"10",NA,0
"95","030920-JD","8","7",NA,0,NA
"96","030920-JD","5","7",NA,0,NA
"97","030920-JD","8",NA,"8",NA,1
"98","030920-JD","5",NA,"8",NA,0
"99","031020-GG","10","10","10",1,1
"100","031020-GG","5","10","10",0,0
